date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:46	81/81	---MCZ	200	added ('OK')	text/plain	date:Mon,%2014%20Mar%202022%2004:50:51%20GMT	https://haveheart.qodeinteractive.com/robots.txt		(from )
11:50:47	221063/221063	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2004:50:52%20GMT	https://haveheart.qodeinteractive.com/habitat-home/	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/habitat-home/index.html	(from )
11:50:47	1133890/1133890	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202019%2010:08:38%20GMT	https://haveheart.qodeinteractive.com/wp-content/uploads/2019/11/bck-map.png?id=3571	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/uploads/2019/11/bck-mapb704.png	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:48	9130/9130	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202019%2008:24:06%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/dripicons/assets/css/dripicons.min.css?ver=5.4.10	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/dripicons/assets/css/dripicons.min923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:48	22518/22518	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202019%2008:24:06%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/elegant-icons/assets/css/elegant-icons.min.css?ver=5.4.10	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/elegant-icons/assets/css/elegant-icons.min923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:48	51215/51215	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202019%2008:24:06%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/font-awesome/assets/css/all.min.css?ver=5.4.10	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/font-awesome/assets/css/all.min923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:48	46591/46591	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202019%2008:24:06%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/ionicons/assets/css/ionicons.min.css?ver=5.4.10	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/ionicons/assets/css/ionicons.min923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:48	42983/42983	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202019%2008:24:06%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/linea-icons/assets/css/linea-icons.min.css?ver=5.4.10	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/linea-icons/assets/css/linea-icons.min923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:48	7231/7231	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202019%2008:24:06%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/linear-icons/assets/css/linear-icons.min.css?ver=5.4.10	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/linear-icons/assets/css/linear-icons.min923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:49	10996/10996	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Sep%202019%2008:24:06%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/simple-line-icons/assets/css/simple-line-icons.min.css?ver=5.4.10	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/haveheart-core/inc/icons/simple-line-icons/assets/css/simple-line-icons.min923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:49	16845/16845	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Apr%202020%2008:03:43%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sb-instagram-2-2.min.css?ver=2.3	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/instagram-feed/css/sb-instagram-2-2.mina361.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:49	53593/53593	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Apr%202020%2002:04:43%20GMT	https://haveheart.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4.10	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-includes/css/dist/block-library/style.min923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:49	30917/30917	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2002:09:26%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:50	1467/1467	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2020:04:02%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles6725.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:50	14464/14464	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2020:04:42%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min.css?ver=1.5	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min7ef2.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:52	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%225e4e4f3b-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=5.4.10	C:/My%20Web%20Sites/test/export.qodethemes.com/_toolbar/assets/css/rbt-modules923e.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
11:50:52	47925/47925	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Nov%202019%2011:50:59%20GMT	https://haveheart.qodeinteractive.com/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.5	C:/My%20Web%20Sites/test/haveheart.qodeinteractive.com/wp-content/plugins/revslider/public/assets/css/rs6b5e1.css	(from https://haveheart.qodeinteractive.com/habitat-home/)
